Clade,CRISPR Group,CRR1 Spacers,CRR2 Spacers,CRR4 Spacers
Widely Prevalent (WP),Ia,28-36,31-35,5
Widely Prevalent (WP),Ib,27-36,21-26,5
Widely Prevalent (WP),II,12-19,27-35,5
Widely Prevalent (WP),I & II,12-36,21-35,5
Western North American (WNA),III,44-110,25-49,5
Eastern North American (ENA),IV,53-95,25-58,5
B-Group I,I,29-31,22-23,5
B-Group II,II,18-22,49,5
B-Group III,III,18-23,36-39,5
B-Group IV,IV,42,32,5
B-Group ATCC-BAA2158,ATCC-BAA2158,53,38,5
Rubus I,Rubus I,20-55,16-40,3-6
Rubus II,Rubus II,20-41,16-38,3-6
Rubus III,Rubus III,48-55,31-40,3-6
