Filename,Query,Subject,Identity,Alignment_length,Mismatches,Gap_opens,Query_start,Query_end,Subject_start,Subject_end,E-value,Bit_score
GCA_023184275.1_ASM2318427v1_genomic,JAJTMN010000003.1,bcsE,100.000,1458,0,0,151802,153259,1458,1,0.0,2693
GCA_023184275.1_ASM2318427v1_genomic,JAJTMN010000003.1,bcsO,100.000,531,0,0,140295,140825,1,531,0.0,981
GCA_023183075.1_ASM2318307v1_genomic,JAJTKF010000003.1,bcsE,100.000,1458,0,0,233909,235366,1,1458,0.0,2693
GCA_023183075.1_ASM2318307v1_genomic,JAJTKF010000003.1,bcsO,100.000,531,0,0,246343,246873,531,1,0.0,981
GCF_012980845.1_ASM1298084v1_genomic,NZ_CP050263.1,bcsE,100.000,1458,0,0,3691823,3693280,1,1458,0.0,2693
GCF_012980845.1_ASM1298084v1_genomic,NZ_CP050263.1,bcsO,100.000,531,0,0,3704257,3704787,531,1,0.0,981
GCF_023183355.1_ASM2318335v1_genomic,NZ_JAJTKS010000003.1,bcsE,100.000,1458,0,0,151812,153269,1458,1,0.0,2693
GCF_023183355.1_ASM2318335v1_genomic,NZ_JAJTKS010000003.1,bcsO,100.000,531,0,0,140305,140835,1,531,0.0,981
GCF_012371755.1_ASM1237175v1_genomic,NZ_JAAEVY010000009.1,bcsE,99.863,1458,2,0,151525,152982,1458,1,0.0,2682
GCF_012371755.1_ASM1237175v1_genomic,NZ_JAAEVY010000009.1,bcsO,99.435,531,3,0,140018,140548,1,531,0.0,965
GCF_012367175.1_ASM1236717v1_genomic,NZ_JAAEVG010000003.1,bcsE,98.903,1458,16,0,28693,30150,1458,1,0.0,2604
GCF_012367175.1_ASM1236717v1_genomic,NZ_JAAEVG010000003.1,bcsO,98.493,531,8,0,17174,17704,1,531,0.0,937
GCF_012367545.1_ASM1236754v1_genomic,NZ_JAAEWB010000007.1,bcsE,100.000,1458,0,0,205558,207015,1,1458,0.0,2693
GCF_012367545.1_ASM1236754v1_genomic,NZ_JAAEWB010000007.1,bcsO,99.812,531,1,0,217991,218521,531,1,0.0,976
GCA_023612695.1_ASM2361269v1_genomic,CP076591.1,bcsE,100.000,1458,0,0,2391139,2392596,1,1458,0.0,2693
GCA_023612695.1_ASM2361269v1_genomic,CP076591.1,bcsO,100.000,531,0,0,2403573,2404103,531,1,0.0,981
GCF_012367945.1_ASM1236794v1_genomic,NZ_JAAEXC010000057.1,bcsE,100.000,1458,0,0,19071,20528,1,1458,0.0,2693
GCF_012367945.1_ASM1236794v1_genomic,NZ_JAAEXC010000057.1,bcsO,100.000,531,0,0,31505,32035,531,1,0.0,981
