Filename,Query,Subject,Identity,Alignment_length,Mismatches,Gap_opens,Query_start,Query_end,Subject_start,Subject_end,E-value,Bit_score
GCA_023184275.1_ASM2318427v1_genomic,JAJTMN010000001.1,amsG,100.000,1444,0,0,248986,250429,1,1444,0.0,2667
GCA_023184275.1_ASM2318427v1_genomic,JAJTMN010000001.1,amsL,100.000,1178,0,0,263615,264792,1,1178,0.0,2176
GCA_023183075.1_ASM2318307v1_genomic,JAJTKF010000001.1,amsG,100.000,1444,0,0,1367960,1369403,1444,1,0.0,2667
GCA_023183075.1_ASM2318307v1_genomic,JAJTKF010000001.1,amsL,100.000,1178,0,0,1353597,1354774,1178,1,0.0,2176
GCF_012980845.1_ASM1298084v1_genomic,NZ_CP050263.1,amsG,100.000,1444,0,0,1473547,1474990,1,1444,0.0,2667
GCF_012980845.1_ASM1298084v1_genomic,NZ_CP050263.1,amsL,100.000,1178,0,0,1488176,1489353,1,1178,0.0,2176
GCF_023183355.1_ASM2318335v1_genomic,NZ_JAJTKS010000001.1,amsG,100.000,1444,0,0,248333,249776,1,1444,0.0,2667
GCF_023183355.1_ASM2318335v1_genomic,NZ_JAJTKS010000001.1,amsL,100.000,1178,0,0,262962,264139,1,1178,0.0,2176
GCF_012371755.1_ASM1237175v1_genomic,NZ_JAAEVY010000018.1,amsG,99.654,1444,5,0,264796,266239,1444,1,0.0,2639
GCF_012371755.1_ASM1237175v1_genomic,NZ_JAAEVY010000018.1,amsL,99.576,1178,5,0,250433,251610,1178,1,0.0,2148
GCF_012367175.1_ASM1236717v1_genomic,NZ_JAAEVG010000018.1,amsG,98.338,1444,24,0,47894,49337,1444,1,0.0,2534
GCF_012367175.1_ASM1236717v1_genomic,NZ_JAAEVG010000018.1,amsL,99.745,1176,3,0,33534,34709,1176,1,0.0,2156
GCF_012367545.1_ASM1236754v1_genomic,NZ_JAAEWB010000006.1,amsG,100.000,1444,0,0,128383,129826,1444,1,0.0,2667
GCF_012367545.1_ASM1236754v1_genomic,NZ_JAAEWB010000006.1,amsL,100.000,1178,0,0,114020,115197,1178,1,0.0,2176
GCA_023612695.1_ASM2361269v1_genomic,CP076591.1,amsG,99.931,1444,1,0,172866,174309,1,1444,0.0,2662
GCA_023612695.1_ASM2361269v1_genomic,CP076591.1,amsL,100.000,1178,0,0,187495,188672,1,1178,0.0,2176
GCF_012367945.1_ASM1236794v1_genomic,NZ_JAAEXC010000022.1,amsG,100.000,1444,0,0,83681,85124,1,1444,0.0,2667
GCF_012367945.1_ASM1236794v1_genomic,NZ_JAAEXC010000022.1,amsL,100.000,1178,0,0,98310,99487,1,1178,0.0,2176
GCF_023183475.1_ASM2318347v1_genomic,NZ_JAJTKZ010000001.1,amsG,100.000,1444,0,0,290254,291697,1,1444,0.0,2667
GCF_023183475.1_ASM2318347v1_genomic,NZ_JAJTKZ010000001.1,amsL,100.000,1178,0,0,304883,306060,1,1178,0.0,2176
GCA_023184165.1_ASM2318416v1_genomic,JAJTMF010000001.1,amsG,100.000,1444,0,0,1369059,1370502,1444,1,0.0,2667
GCA_023184165.1_ASM2318416v1_genomic,JAJTMF010000001.1,amsL,100.000,1178,0,0,1354696,1355873,1178,1,0.0,2176
GCA_023183755.1_ASM2318375v1_genomic,JAJTLK010000001.1,amsG,100.000,1444,0,0,290882,292325,1,1444,0.0,2667
GCA_023183755.1_ASM2318375v1_genomic,JAJTLK010000001.1,amsL,100.000,1178,0,0,305511,306688,1,1178,0.0,2176
GCF_002732205.1_ASM273220v1_genomic,NZ_NQJO01000001.1,amsG,100.000,1444,0,0,1554653,1556096,1,1444,0.0,2667
GCF_002732205.1_ASM273220v1_genomic,NZ_NQJO01000001.1,amsL,100.000,1178,0,0,1569282,1570459,1,1178,0.0,2176
GCF_012368315.1_ASM1236831v1_genomic,NZ_JAAEXW010000012.1,amsG,100.000,1444,0,0,130277,131720,1444,1,0.0,2667
